event,p_in,p_T_in,dp_T_in,phi0_in,eta_in,p_out,p_T_out,dp_T_out,phi0_out,eta_out
#[],[GeV],[GeV],[GeV],[degree],[rad],[GeV],[GeV],[GeV],[degree],[rad]
1,-85.28,-38.36,1.016,21.008,1.437,-53.92,-24.06,2.579,21.678,1.446
2,43.4,33.17,0.797,24.877,-0.767,43.83,33.35,1.675,23.423,-0.773
3,-241.37,-41.85,3.633,230.107,-2.438,-237.02,-41.03,0.654,230.756,-2.439
4,48.89,41.96,0.831,311.119,0.567,44.77,38.11,1.333,310.118,0.583
5,-168.16,-53.66,2.054,244.395,-1.809,-177.62,-61.17,4.417,241.74,-1.728
6,117.32,44.65,1.388,151.865,1.621,96.56,36.6,3.15,151.487,1.625
7,-71.94,-57.34,1.684,3.804,0.699,-64.96,-51.82,1.07,3.253,0.698
8,199.91,64.54,2.677,67.324,1.797,199.44,64.86,2.846,65.765,1.788
9,-57.84,-55.54,1.15,240.986,-0.287,-50.01,-48,0.948,241.767,-0.268
10,71.1,39.9,0.98,312.234,1.181,,,,,
11,-100.75,-37.79,1.185,48.016,-1.636,-94.11,-35.08,0.659,48.715,-1.645
12,38.26,37.59,0.653,326.1,0.189,34.48,33.85,1.157,324.917,0.194
13,-105.19,-59.88,1.766,223.748,1.163,-108.68,-62.15,4.197,225.558,1.158
14,236.12,47.52,3.324,103.025,2.286,263.61,52.98,1.179,103.159,2.287
15,-131.69,-43.88,1.471,254.894,-1.763,-125.51,-41.97,2.098,256.042,-1.759
16,152.24,45.66,1.844,27.045,-1.874,157.69,47.26,2.169,26.278,-1.875
17,-35.23,-32.65,0.539,326.388,0.395,-32.18,-29.81,0.531,327.107,0.396
18,54.19,52.8,1.06,336.212,0.229,50,48.73,2.261,336.122,0.228
19,-84.75,-64.49,2.515,259.873,0.773,-68.09,-52.18,1.038,260.216,0.762
20,104.26,47.56,1.324,77.622,1.421,107.98,49.52,3.217,77.076,1.416
21,-184.01,-35.52,2.284,25.237,-2.329,-170.66,-33.24,0.771,26.399,-2.32
