RUN,EVENT,Ctrk(Sump),Ctrk(N),Ecal(SumE),Hcal(SumE),Comment
2568,80617,90.1,2,1.6,7,back to back
2568,84297,93,2,1.6,8.7,back to back
2568,85398,96.8,2,2,0,back to back
2568,87693,89.1,2,2.3,8.5,back to back
2568,89929,90.5,2,1.5,7.2,back to back
2568,91048,91.8,2,1.8,4.3,back to back
2568,92681,86.3,2,3.7,3.3,back to back (3 hits muon - cosmic?)
2568,93199,99.2,2,1.3,2.9,back to back
2568,95202,88.2,2,1.6,3,back to back
2568,99962,90.9,2,1.3,6.7,back to back (schön)
2568,100566,95.6,2,2.5,6.1,back to back (schön)
2568,100721,75.3,2,3.1,6.8,oh kink (initial state radiation?)
2568,102167,85.2,2,5.8,4.4,back to back (dirty)
2568,105720,98.6,2,3.6,5.7,back to back (3 muons oh)
2568,106346,86.8,2,1.9,7.9,back to back
2568,107030,98,2,1.9,2,back to back (3 muons in xy)
2568,107772,108.3,2,2,8.5,back to back forward direction (same muon two hits)
2568,108553,92.4,2,3.6,6.7,back to back
2568,110610,92,2,1.9,22.6,back to back
2570,29023,92.6,2,3.6,5.7,back to back
