RUN,EVENT,Ctrk(Sump),Ctrk(N),Ecal(SumE),Hcal(SumE),Comment
2566,170371,74,5,51.1,10.2,"3, 1-prong (small noisy track), schick"
2566,170508,46.5,2,17.3,8.2,"1, 1-prong, muon, pi"
2566,179750,30.8,2,1.6,6.3,"1,1-pr, 2 mu schöööön"
2566,184010,29.5,2,10.2,4.1,"1,1-pr, 1mu, electron?"
2566,184435,33.1,2,1.5,10.6,"1-1-pr, 2mu"
2566,189056,24.4,2,12.4,11.7,"1-1-pr, 1e, pionkram"
2566,208314,36,4,16.1,5.7,"1-3-pr, mu, 3pion"
2566,212745,41.3,2,11.1,20,"1e, 1mu"
2570,29664,49.7,2,5.2,20.3,2mu + cosmic?
2570,30348,33.4,2,23.6,6.9,"1e, 1mu"
2570,34612,14.1,2,3.3,6.3,"1mu, pi"
2570,39992,19.7,2,15.9,3.8,"1e, pi"
2570,42200,26.8,2,16.5,3.4,"1mu, 1e"
2570,45609,23.4,5,27,17.1,"1e,konvertiertes gamma, pi"
2570,47033,23.8,2,29.4,3.6,2e
2572,98915,39,2,18.9,4.4,"mu,e"
2572,102412,24.1,2,46.5,7.3,"e, pi"
2572,102586,38.5,5,28.5,0,"1-3-pr, cosmic radiation, e, 3pi"
2572,108411,35.3,2,51.8,2.3,"1-1-pr, pi + pi0 -> 2gamma, 1e (oder pi?)"
2572,109621,17.8,2,2.5,5,"1-1-pr, 2mu, multiple muon hits"
